"X","GeneSymbol","GeneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
107985562,NA,107985562,420.973949543636,4.20874199467093,0.846022584653462,4.97473952943569,6.53354309520398e-07,0.000351565395667046
107984593,NA,107984593,654.621944446951,2.27505805909724,0.460272469669337,4.94285061353258,7.69884766806408e-07,0.000404854403053788
4502,"MT2A",4502,1804.46646979949,3.45468728160664,0.700078498581336,4.93471416220802,8.02682261139516e-07,0.000412721381294358
4939,"OAS2",4939,43941.9226274975,2.96661625107384,0.605728672782687,4.89759917991888,9.70146708896772e-07,0.000477601160647947
714,"C1QC",714,144.175051799977,4.26031188239748,0.870839854654661,4.89218753554515,9.97213558781291e-07,0.000480698485897531
107984200,"LOC107984200",107984200,232.453382213479,1.1819500748127,0.242864406903663,4.86670768220701,1.13472673025614e-06,0.00052510614169333
106614088,"MIR34AHG",106614088,87.6919459046359,2.77000643086696,0.570924848891883,4.85178817534971,1.22353264368064e-06,0.000544424967490051
105375028,"LOC105375028",105375028,26.2722277378798,1.46321638891302,0.302635831136617,4.83490795989879,1.33207254096771e-06,0.000581537631186998
11221,"DUSP10",11221,727.497473602688,1.09327096659347,0.226444625000506,4.82798373593999,1.37922354628942e-06,0.000584475877136325
4599,"MX1",4599,59985.2929186827,2.9865325117768,0.618774238477277,4.82653013985565,1.38932376361388e-06,0.000584475877136325
373856,"USP41P",373856,169.577381285595,4.21537268818224,0.876974526878562,4.80672192747276,1.53425154401697e-06,0.00063391986116901
117854,"TRIM6",117854,474.96167021099,2.88581142243293,0.60188161231837,4.79464958452071,1.6295942990221e-06,0.000639292249357784
558,"AXL",558,244.520745830182,3.50806548270383,0.73073027824686,4.80076655797026,1.58059433304805e-06,0.000639292249357784
101928424,"TMEM123-DT",101928424,66.2218534516933,2.23076194484864,0.467214640425357,4.7745976941513,1.80066855209971e-06,0.000694397815974717
105373180,"LOC105373180",105373180,53.6218193665325,4.70034560779089,0.990812307873533,4.74393138886083,2.09609869316822e-06,0.000769833834325812
9636,"ISG15",9636,3529.79576678601,3.94167706050011,0.832710027387861,4.73355301468485,2.20623303416274e-06,0.000773451817340264
91543,"RSAD2",91543,51970.0074162532,4.21573874027859,0.890363230172069,4.73485269541496,2.19214253125095e-06,0.000773451817340264
717,"C2",717,1150.76081622256,2.78828110654323,0.588420000631943,4.73858995878575,2.15210485809324e-06,0.000773451817340264
63967,"CLSPN",63967,223.333129206632,1.43432149869129,0.303310429036141,4.72888948543337,2.25751216364238e-06,0.000779616663318769
3728,"JUP",3728,1639.77452546915,2.63288179979738,0.559400622937893,4.70661220570306,2.51867379906078e-06,0.00084459528061838
105372935,"FAM247A",105372935,144.756583948868,4.28593806189958,0.9113746511969,4.7027180932352,2.56720763791658e-06,0.000848572147515912
105374219,"LINC02068",105374219,88.5458100895329,4.86597289734287,1.04100302604283,4.67431196222352,2.94940722139777e-06,0.00096117442660143
105372118,NA,105372118,298.711924824589,2.04426541034042,0.438012636764034,4.66713797447288,3.05424242723446e-06,0.000981514740018762
55008,"HERC6",55008,5307.68284661742,2.49152692041669,0.537650918651744,4.63409776489296,3.58497553495871e-06,0.0011362899168202
107984474,"LRRK2-DT",107984474,339.780613062092,2.42804710058932,0.525870830370558,4.61719296900035,3.88965548686445e-06,0.00121620065750094
400941,"LINC00487",400941,162.629369363759,3.38122017880151,0.73395469517461,4.60685135067786,4.08812027610587e-06,0.00124461745984918
629,"CFB",629,159.106148390542,2.51376677059016,0.545567699781273,4.60761656453997,4.07310876366448e-06,0.00124461745984918
105369402,"LOC105369402",105369402,325.541574002246,2.56085665857631,0.558018144803076,4.58919962088336,4.44948771677282e-06,0.00131990059988064
55601,"DDX60",55601,13786.3433303155,2.45032278933671,0.537003610805066,4.56295402867633,5.04388620087199e-06,0.00147728403690856
84561,"SLC12A8",84561,64.1853660763421,2.96062351547221,0.649819931827828,4.55606756650954,5.21201770411094e-06,0.00149329861276357
100616269,"MIR4639",100616269,123.226909056466,1.73179145293207,0.381578467846759,4.53849364903774,5.66575019111131e-06,0.00157944732436064
107984529,NA,107984529,337.593775094398,1.4888083592951,0.328519519951572,4.53187183371802,5.84633188206595e-06,0.00161038603675288
