"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050777","negative regulation of immune response","16/271","226/18860",0.0707964601769911,4.92701564183783,7.17100073655427,1.842994138572e-07,1.69838561793086e-05,1.44259386203311e-05,"OAS1/USP18/OAS3/DUSP10/ISG15/SERPING1/PARP14/DHX58/GRN/IFI16/LILRB1/LGALS9/LILRB4/TREX1/PLK2/STAT2",16
"GO:0050691","regulation of defense response to virus by host","8/271","44/18860",0.181818181818182,12.6534719892653,9.34402484766622,1.85615914527963e-07,1.69838561793086e-05,1.44259386203311e-05,"TRIM6/PARP9/TRIM22/RIGI/LILRB1/DTX3L/PML/AIM2",8
"GO:0039530","MDA-5 signaling pathway","5/271","11/18860",0.454545454545455,31.6336799731634,12.2706429253988,2.54157090861692e-07,2.26268501972544e-05,1.92190482933251e-05,"OAS3/DDX60/IRF7/IFIH1/DHX58",5
"GO:0050688","regulation of defense response to virus","9/271","66/18860",0.136363636363636,9.49010399194901,8.34240612359588,4.13889326366574e-07,3.58776695013551e-05,3.04741781020042e-05,"TRIM6/HERC5/PARP9/TRIM22/RIGI/LILRB1/DTX3L/PML/AIM2",9
"GO:0060339","negative regulation of type I interferon-mediated signaling pathway","6/271","23/18860",0.260869565217391,18.1549815498155,9.93949378318633,6.84647525455867e-07,5.71318699358112e-05,4.85273097144365e-05,"OAS1/USP18/OAS3/ISG15/TREX1/STAT2",6
"GO:0031348","negative regulation of defense response","18/271","313/18860",0.0575079872204473,4.00221637999128,6.46685740634662,6.93768912396007e-07,5.71318699358112e-05,4.85273097144365e-05,"OAS1/USP18/OAS3/DUSP10/ISG15/SERPING1/PARP14/DHX58/GRN/KLF4/IFI16/LILRB1/TNFAIP6/LGALS9/MDK/TREX1/PLK2/STAT2",18
"GO:0045786","negative regulation of cell cycle","20/271","399/18860",0.050125313283208,3.48842586170223,6.0659594795247,1.43094347172888e-06,0.000114964092582315,9.7649492884605e-05,"CLSPN/PARP9/TICRR/FOXC1/BRCA2/KLF4/DTL/LILRB1/RPA4/DTX3L/PML/LIF/NUPR1/FBXO6/TREX1/BUB1/CDC45/E2F8/NEK2/RBBP8",20
"GO:0030522","intracellular receptor signaling pathway","21/271","447/18860",0.0469798657718121,3.26952128581689,5.86329448584382,2.17891307272273e-06,0.000169588117199341,0.000144046660759866,"OAS1/OAS3/EIF2AK2/RSAD2/DDX60/IRF7/OASL/IFIH1/DHX58/SP100/PIK3AP1/RIGI/IFI16/JAK2/PML/LACC1/UNC93B1/TREX1/WDFY1/TICAM1/IRF5",21
"GO:0002237","response to molecule of bacterial origin","19/271","375/18860",0.0506666666666667,3.52610086100861,5.96585309932775,2.25491204821435e-06,0.000169588117199341,0.000144046660759866,"EPHB2/CMPK2/DUSP10/TRIM6/AXL/C2/CXCL10/CD68/ABCA1/LILRB1/JAK2/CARD17P/LGALS9/PLSCR4/CHMP5/TICAM1/IRF5/TRIM5/GCH1",19
"GO:0071360","cellular response to exogenous dsRNA","5/271","16/18860",0.3125,21.7481549815498,10.0246423888776,2.26529361164876e-06,0.000169588117199341,0.000144046660759866,"OAS1/OAS3/IFIT1/IFIH1/RIGI",5
"GO:0035458","cellular response to interferon-beta","6/271","29/18860",0.206896551724138,14.3987784705433,8.71853421019195,2.99663894468771e-06,0.00021935397075114,0.000186317340701285,"OAS1/TRIM6/IFI16/PNPT1/AIM2/TREX1",6
